,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
0,2110,2017/8/1 0:00,2017/8/1 0:35,470,W 20 Street & 8 Avenue,40.74345335,-74.00004031,3289,W 90 St & Amsterdam Ave,40.79017948,-73.97288918,20954,Subscriber,1978.0,2
1,160,2017/8/1 0:00,2017/8/1 0:02,348,W Broadway & Spring St,40.72490985,-74.00154702,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,15164,Subscriber,1978.0,1
2,1644,2017/8/1 0:00,2017/8/1 0:27,3165,Central Park West & W 72 St,40.77579377,-73.97620574,3320,Central Park West & W 100 St,40.793393,-73.96355559999999,17540,Subscriber,1962.0,2
3,323,2017/8/1 0:00,2017/8/1 0:05,389,Broadway & Berry Street,40.71044554,-73.96525063,3073,Division Ave & Hooper St,40.70691254,-73.95441667,18705,Subscriber,1990.0,1
4,109,2017/8/1 0:00,2017/8/1 0:02,3145,E 84 Street & Park Avenue,40.77862688,-73.95772073,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,27975,Subscriber,1983.0,1
5,525,2017/8/1 0:00,2017/8/1 0:09,3373,3 Street & 3 Avenue,40.675070500000004,-73.98775226,3339,Berkeley Pl & 6 Ave,40.6765304,-73.97846879,14816,Subscriber,1983.0,2
6,317,2017/8/1 0:01,2017/8/1 0:06,3429,Hanson Pl & Ashland Pl,40.68506807,-73.9779076,3421,Hoyt St & Warren St,40.6843549,-73.98901629,27797,Subscriber,1967.0,1
7,201,2017/8/1 0:01,2017/8/1 0:04,495,W 47 St & 10 Ave,40.76269882,-73.99301222,449,W 52 St & 9 Ave,40.76461837,-73.98789473,28611,Subscriber,1986.0,1
8,176,2017/8/1 0:01,2017/8/1 0:04,423,W 54 St & 9 Ave,40.76584941,-73.98690506,449,W 52 St & 9 Ave,40.76461837,-73.98789473,19956,Subscriber,1972.0,1
9,406,2017/8/1 0:01,2017/8/1 0:07,3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,3117,Franklin St & Dupont St,40.735640000000004,-73.95866,26437,Subscriber,1989.0,1
10,331,2017/8/1 0:01,2017/8/1 0:06,3474,6 Ave & Spring St,40.725255700000005,-74.00412083,345,W 13 St & 6 Ave,40.73649403,-73.99704374,18449,Subscriber,1955.0,1
11,290,2017/8/1 0:01,2017/8/1 0:06,479,9 Ave & W 45 St,40.76019252,-73.9912551,450,W 49 St & 8 Ave,40.76227205,-73.98788205,14974,Subscriber,1985.0,1
12,1177,2017/8/1 0:01,2017/8/1 0:21,3358,Garfield Pl & 8 Ave,40.671197799999995,-73.97484126,3358,Garfield Pl & 8 Ave,40.671197799999995,-73.97484126,15839,Subscriber,1987.0,1
13,722,2017/8/1 0:01,2017/8/1 0:13,3159,W 67 Street & Broadway,40.77492513,-73.98266566,3236,W 42 St & Dyer Ave,40.75898481,-73.99379969,28083,Subscriber,1952.0,1
14,720,2017/8/1 0:01,2017/8/1 0:13,379,W 31 Street & 7 Avenue,40.749156,-73.9916,3466,W 45 St & 6 Ave,40.75668721,-73.98257732,18896,Customer,,0
15,1850,2017/8/1 0:01,2017/8/1 0:32,3150,E 85 Street & York Avenue,40.77536905,-73.94803392,3255,8 Ave & W 31 St,40.75058535,-73.99468482,18203,Subscriber,1985.0,1
16,273,2017/8/1 0:01,2017/8/1 0:06,479,9 Ave & W 45 St,40.76019252,-73.9912551,450,W 49 St & 8 Ave,40.76227205,-73.98788205,19392,Subscriber,1989.0,2
17,344,2017/8/1 0:01,2017/8/1 0:07,377,6 Avenue & Canal Street,40.72243797,-74.00566443,383,Greenwich Ave & Charles St,40.735238,-74.000271,27291,Subscriber,1990.0,1
18,2208,2017/8/1 0:01,2017/8/1 0:38,293,Lafayette St & E 8 St,40.73020661,-73.99102628,3338,2 Ave & E 99 St,40.786258600000004,-73.94552579,28885,Subscriber,1976.0,2
19,302,2017/8/1 0:01,2017/8/1 0:07,3159,W 67 Street & Broadway,40.77492513,-73.98266566,513,W 56 St & 10 Ave,40.768254,-73.988639,28834,Subscriber,1974.0,1
20,383,2017/8/1 0:02,2017/8/1 0:08,83,Atlantic Avenue & Fort Greene Pl,40.68382604,-73.97632328,3402,Court St & State St,40.6902375,-73.99203074,19807,Subscriber,1982.0,2
21,1471,2017/8/1 0:02,2017/8/1 0:26,3478,2 Ave & 36 St - Citi Bike HQ at Industry City,40.65708867,-74.00870204,3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,24998,Subscriber,1992.0,1
22,555,2017/8/1 0:02,2017/8/1 0:11,293,Lafayette St & E 8 St,40.73020661,-73.99102628,546,E 30 St & Park Ave S,40.74444921,-73.98303529,27793,Subscriber,1985.0,2
23,373,2017/8/1 0:02,2017/8/1 0:08,285,Broadway & E 14 Street,40.73454567,-73.99074142,251,Mott St & Prince St,40.72317958,-73.99480012,16208,Subscriber,1988.0,1
24,316,2017/8/1 0:02,2017/8/1 0:07,3263,Cooper Square & E 7 Street,40.7292365,-73.99086803,432,E 7 St & Avenue A,40.72621788,-73.98379855,19806,Subscriber,1993.0,1
25,630,2017/8/1 0:02,2017/8/1 0:12,396,Lefferts Pl & Franklin Avenue,40.68034242,-73.95576894,343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,16818,Subscriber,1993.0,2
26,677,2017/8/1 0:02,2017/8/1 0:13,379,W 31 St & 7 Ave,40.749156,-73.9916,3466,W 45 St & 6 Ave,40.75668721,-73.98257732,14592,Customer,,0
27,380,2017/8/1 0:02,2017/8/1 0:08,457,Broadway & W 58 Street,40.76695317,-73.98169333,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,15220,Subscriber,1976.0,1
28,200,2017/8/1 0:02,2017/8/1 0:06,504,1 Avenue & E 16 Street,40.73221853,-73.98165557,545,E 23 St & 1 Ave,40.736502,-73.97809472,17433,Subscriber,1971.0,2
29,630,2017/8/1 0:02,2017/8/1 0:13,3141,1 Avenue & E 68 Street,40.76500525,-73.95818491,2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,29803,Subscriber,1993.0,2
30,418,2017/8/1 0:02,2017/8/1 0:09,517,Pershing Square South,40.751581,-73.97791,492,W 33 St & 7 Ave,40.75019995,-73.99093085,26628,Subscriber,1979.0,1
31,166,2017/8/1 0:03,2017/8/1 0:05,345,W 13 Street & 6 Avenue,40.73649403,-73.99704374,285,Broadway & E 14 St,40.73454567,-73.99074142,20738,Subscriber,1994.0,1
32,1306,2017/8/1 0:03,2017/8/1 0:24,485,W 37 Street & 5 Avenue,40.75038009,-73.98338988,405,Washington St & Gansevoort St,40.739323,-74.008119,18778,Subscriber,1989.0,1
33,337,2017/8/1 0:03,2017/8/1 0:08,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,3078,Broadway & Roebling St,40.70924826,-73.96063149,15013,Subscriber,1972.0,1
34,245,2017/8/1 0:03,2017/8/1 0:07,410,Suffolk Street & Streetanton Street,40.72066442,-73.98517977,410,Suffolk St & Stanton St,40.72066442,-73.98517977,28190,Subscriber,1974.0,1
35,1003,2017/8/1 0:03,2017/8/1 0:20,3086,Graham Ave & Conselyea St,40.715143,-73.944507,409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,26979,Subscriber,1989.0,1
36,783,2017/8/1 0:03,2017/8/1 0:16,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,432,E 7 St & Avenue A,40.72621788,-73.98379855,15721,Subscriber,1968.0,1
37,1267,2017/8/1 0:03,2017/8/1 0:24,296,Division St & Bowery,40.71413089,-73.99704679999999,502,Henry St & Grand St,40.714215,-73.981346,21056,Subscriber,1996.0,1
38,315,2017/8/1 0:03,2017/8/1 0:09,402,Broadway & E 22 Street,40.740343200000005,-73.98955109,492,W 33 St & 7 Ave,40.75019995,-73.99093085,28117,Subscriber,1973.0,1
39,242,2017/8/1 0:03,2017/8/1 0:07,3474,6 Ave & Spring St,40.725255700000005,-74.00412083,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,14799,Subscriber,1984.0,1
40,1006,2017/8/1 0:03,2017/8/1 0:20,151,Cleveland Pl & Spring Street,40.72210379,-73.99724901,485,W 37 St & 5 Ave,40.75038009,-73.98338988,29805,Subscriber,1972.0,1
41,653,2017/8/1 0:04,2017/8/1 0:15,401,Allen Street & Rivington Street,40.72019576,-73.98997825,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,21224,Subscriber,1993.0,1
42,488,2017/8/1 0:04,2017/8/1 0:12,3112,Milton Street & Franklin Street,40.72906,-73.95779,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,27481,Subscriber,1989.0,1
43,544,2017/8/1 0:04,2017/8/1 0:13,267,Broadway & W 36 Street,40.75097711,-73.98765428,297,E 15 St & 3 Ave,40.734232,-73.986923,19082,Subscriber,1988.0,1
44,556,2017/8/1 0:04,2017/8/1 0:13,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,3454,Leonard St & Maujer St,40.71036854,-73.94705951,28535,Subscriber,1968.0,2
45,1878,2017/8/1 0:04,2017/8/1 0:35,3161,W 76 Street & Columbus Avenue,40.78018397,-73.97728533,503,E 20 St & Park Ave,40.73827428,-73.98751968,28613,Customer,,0
46,653,2017/8/1 0:04,2017/8/1 0:15,401,Allen Street & Rivington Street,40.72019576,-73.98997825,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,17686,Subscriber,1994.0,1
47,1879,2017/8/1 0:04,2017/8/1 0:35,3161,W 76 St & Columbus Ave,40.78018397,-73.97728533,503,E 20 St & Park Ave,40.73827428,-73.98751968,17597,Customer,,0
48,1518,2017/8/1 0:04,2017/8/1 0:30,3085,Roebling St & N 4 St,40.714690000000004,-73.95739,258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,26080,Subscriber,1993.0,1
49,218,2017/8/1 0:04,2017/8/1 0:08,449,W 52 Street & 9 Avenue,40.76461837,-73.98789473,495,W 47 St & 10 Ave,40.76269882,-73.99301222,25160,Subscriber,1985.0,1
50,1129,2017/8/1 0:04,2017/8/1 0:23,336,Sullivan Street & Washington Sq,40.73047747,-73.99906065,295,Pike St & E Broadway,40.71406667,-73.99293911,28615,Subscriber,1981.0,1
51,1805,2017/8/1 0:05,2017/8/1 0:35,355,Bayard St & Baxter St,40.71602118,-73.99974372,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,26956,Subscriber,1992.0,1
52,492,2017/8/1 0:05,2017/8/1 0:13,3474,6 Ave & Spring St,40.725255700000005,-74.00412083,410,Suffolk St & Stanton St,40.72066442,-73.98517977,26898,Subscriber,1978.0,1
53,2415,2017/8/1 0:05,2017/8/1 0:46,236,Street Marks Pl & 2 Avenue,40.7284186,-73.98713956,473,Rivington St & Chrystie St,40.72110063,-73.99192540000001,28741,Subscriber,1992.0,1
54,1449,2017/8/1 0:05,2017/8/1 0:30,412,Forsyth Street & Canal Street,40.715815500000005,-73.99422366,519,Pershing Square North,40.751872999999996,-73.97770600000001,16488,Customer,,0
55,554,2017/8/1 0:05,2017/8/1 0:15,72,W 52 Street & 11 Avenue,40.76727216,-73.99392888,448,W 37 St & 10 Ave,40.75660359,-73.9979009,18521,Customer,,0
56,552,2017/8/1 0:06,2017/8/1 0:15,402,Broadway & E 22 Street,40.740343200000005,-73.98955109,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,18568,Subscriber,1993.0,1
57,1363,2017/8/1 0:06,2017/8/1 0:28,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,471,Grand St & Havemeyer St,40.71286844,-73.95698119,20783,Customer,,0
58,2192,2017/8/1 0:06,2017/8/1 0:42,498,Broadway & W 32 Street,40.74854862,-73.98808416,498,Broadway & W 32 St,40.74854862,-73.98808416,25009,Subscriber,1990.0,1
59,202,2017/8/1 0:06,2017/8/1 0:09,449,W 52 Street & 9 Avenue,40.76461837,-73.98789473,479,9 Ave & W 45 St,40.76019252,-73.9912551,27400,Subscriber,1972.0,1
60,483,2017/8/1 0:06,2017/8/1 0:14,3456,Jackson St & Leonard St,40.71638032,-73.94821286,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,21488,Subscriber,1987.0,1
61,494,2017/8/1 0:06,2017/8/1 0:14,3456,Jackson St & Leonard St,40.71638032,-73.94821286,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,14767,Subscriber,1985.0,2
62,2544,2017/8/1 0:06,2017/8/1 0:48,478,11 Ave & W 41 St,40.76030096,-73.99884222,531,Forsyth St & Broome St,40.71893904,-73.99266288,19139,Subscriber,1990.0,2
63,561,2017/8/1 0:06,2017/8/1 0:15,477,W 41 Street & 8 Avenue,40.75640548,-73.9900262,228,E 48 St & 3 Ave,40.7546011,-73.97187886,28339,Subscriber,1988.0,1
64,1397,2017/8/1 0:06,2017/8/1 0:29,3170,W 84 Street & Columbus Avenue,40.78499979,-73.97283406,3366,West End Ave & W 107 St,40.8021174,-73.96818053,26378,Customer,1976.0,1
65,122,2017/8/1 0:06,2017/8/1 0:08,316,Fulton Street & William Street,40.70955958,-74.00653609,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,25957,Subscriber,1981.0,1
66,1393,2017/8/1 0:06,2017/8/1 0:30,412,Forsyth Street & Canal Street,40.715815500000005,-73.99422366,519,Pershing Square North,40.751872999999996,-73.97770600000001,25602,Customer,,0
67,214,2017/8/1 0:07,2017/8/1 0:10,3082,Hope St & Union Ave,40.71167351,-73.95141312,3073,Division Ave & Hooper St,40.70691254,-73.95441667,29567,Subscriber,1986.0,1
68,347,2017/8/1 0:07,2017/8/1 0:13,311,Norfolk Street & Broome Street,40.7172274,-73.98802084,432,E 7 St & Avenue A,40.72621788,-73.98379855,27909,Subscriber,1979.0,2
69,1366,2017/8/1 0:07,2017/8/1 0:30,3126,44 Dr & Jackson Ave,40.74718234,-73.9432635,527,E 33 St & 2 Ave,40.744023,-73.976056,25790,Subscriber,1990.0,1
70,898,2017/8/1 0:07,2017/8/1 0:22,450,W 49 Street & 8 Avenue,40.76227205,-73.98788205,3168,Central Park West & W 85 St,40.78472675,-73.96961715,19392,Subscriber,1989.0,2
71,2024,2017/8/1 0:07,2017/8/1 0:41,3356,Amsterdam Avenue & W 66 Street,40.7746671,-73.98470567,3431,E 35 St & 3 Ave,40.746524,-73.977885,25838,Subscriber,1977.0,1
72,395,2017/8/1 0:07,2017/8/1 0:14,462,W 22 Street & 10 Avenue,40.74691959,-74.00451887,497,E 17 St & Broadway,40.73704984,-73.99009296,27694,Subscriber,1988.0,1
73,763,2017/8/1 0:08,2017/8/1 0:20,223,W 13 Street & 7 Avenue,40.73781509,-73.99994661,503,E 20 St & Park Ave,40.73827428,-73.98751968,26054,Subscriber,1967.0,1
74,2513,2017/8/1 0:08,2017/8/1 0:50,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,531,Forsyth St & Broome St,40.71893904,-73.99266288,18011,Subscriber,1982.0,1
75,652,2017/8/1 0:08,2017/8/1 0:19,328,Watts St & Greenwich St,40.72405549,-74.00965965,3428,8 Ave & W 16 St,40.740983,-74.00170200000001,24973,Subscriber,1986.0,1
76,391,2017/8/1 0:08,2017/8/1 0:15,483,E 12 Street & 3 Avenue,40.73223272,-73.98889957,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,19870,Subscriber,1989.0,1
77,323,2017/8/1 0:08,2017/8/1 0:13,3092,Berry Street & N 8 Street,40.7190095,-73.95852515,3112,Milton St & Franklin St,40.72906,-73.95779,16092,Subscriber,1990.0,1
78,105,2017/8/1 0:08,2017/8/1 0:10,450,W 49 Street & 8 Avenue,40.76227205,-73.98788205,479,9 Ave & W 45 St,40.76019252,-73.9912551,14974,Subscriber,1985.0,1
79,636,2017/8/1 0:08,2017/8/1 0:19,536,1 Ave & E 30 St,40.74144387,-73.97536082,519,Pershing Square North,40.751872999999996,-73.97770600000001,16600,Subscriber,1991.0,2
80,261,2017/8/1 0:08,2017/8/1 0:13,314,Cadman Plaza West & Montague Street,40.69383,-73.990539,3308,Kane St & Clinton St,40.686175799999994,-73.99645295,24936,Subscriber,1974.0,1
81,255,2017/8/1 0:08,2017/8/1 0:13,483,E 12 St & 3 Ave,40.73223272,-73.98889957,325,E 19 St & 3 Ave,40.73624527,-73.98473765,30306,Subscriber,1990.0,1
82,1115,2017/8/1 0:08,2017/8/1 0:27,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,21565,Subscriber,1992.0,1
83,1717,2017/8/1 0:08,2017/8/1 0:37,516,E 47 Street & 1 Avenue,40.75206862,-73.96784384,320,Leonard St & Church St,40.717571,-74.005549,20087,Subscriber,1976.0,1
84,226,2017/8/1 0:09,2017/8/1 0:12,3145,E 84 St & Park Ave,40.77862688,-73.95772073,3378,E 76 St & Park Ave,40.773763,-73.96222088,29722,Subscriber,1984.0,1
85,752,2017/8/1 0:09,2017/8/1 0:21,3093,N 6 Street & Bedford Avenue,40.71745169,-73.95850939,3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625,18082,Subscriber,1990.0,2
86,238,2017/8/1 0:09,2017/8/1 0:13,483,E 12 St & 3 Ave,40.73223272,-73.98889957,325,E 19 St & 3 Ave,40.73624527,-73.98473765,21357,Subscriber,1992.0,1
87,386,2017/8/1 0:09,2017/8/1 0:15,382,University Pl & E 14 St,40.73492695,-73.99200509,127,Barrow St & Hudson St,40.73172428,-74.00674436,28197,Subscriber,1978.0,1
88,750,2017/8/1 0:09,2017/8/1 0:21,368,Carmine St & 6 Ave,40.73038599,-74.00214988,477,W 41 St & 8 Ave,40.75640548,-73.9900262,26509,Subscriber,1968.0,1
89,1059,2017/8/1 0:09,2017/8/1 0:26,3002,South End Avenue & Liberty Street,40.711512,-74.01575600000001,308,St James Pl & Oliver St,40.71307916,-73.99851193,17416,Subscriber,1990.0,2
90,713,2017/8/1 0:09,2017/8/1 0:21,498,Broadway & W 32 St,40.74854862,-73.98808416,422,W 59 St & 10 Ave,40.770513,-73.988038,28368,Subscriber,1987.0,1
91,707,2017/8/1 0:09,2017/8/1 0:21,478,11 Ave & W 41 St,40.76030096,-73.99884222,466,W 25 St & 6 Ave,40.74395411,-73.99144871,25571,Subscriber,1989.0,1
92,1035,2017/8/1 0:09,2017/8/1 0:26,445,E 10 St & Avenue A,40.72740794,-73.98142006,3096,Union Ave & N 12 St,40.71924,-73.95241999999999,15096,Subscriber,1986.0,1
93,457,2017/8/1 0:09,2017/8/1 0:17,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,434,9 Ave & W 18 St,40.74317449,-74.00366443,28688,Subscriber,1999.0,1
94,5795,2017/8/1 0:09,2017/8/1 1:46,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,500,Broadway & W 51 St,40.76228826,-73.98336183,28040,Customer,,0
95,1675,2017/8/1 0:09,2017/8/1 0:37,3093,N 6 Street & Bedford Avenue,40.71745169,-73.95850939,237,E 11 St & 2 Ave,40.73047309,-73.98672378,21297,Subscriber,1996.0,1
96,1004,2017/8/1 0:09,2017/8/1 0:26,3156,E 72 Street & York Avenue,40.76663814,-73.95348296,3318,2 Ave & E 96 St,40.7839636,-73.94716729999999,20897,Subscriber,1984.0,1
97,956,2017/8/1 0:09,2017/8/1 0:25,3142,1 Ave & E 62 St,40.761227399999996,-73.96094022,3151,E 81 St & York Ave,40.7728384,-73.94989233,26414,Subscriber,1987.0,1
98,1085,2017/8/1 0:09,2017/8/1 0:28,504,1 Avenue & E 16 Street,40.73221853,-73.98165557,291,Madison St & Montgomery St,40.713126,-73.984844,27048,Subscriber,,0
99,1190,2017/8/1 0:09,2017/8/1 0:29,334,W 20 Street & 7 Avenue,40.74238787,-73.99726235,237,E 11 St & 2 Ave,40.73047309,-73.98672378,29172,Subscriber,1959.0,2
100,369,2017/8/1 0:10,2017/8/1 0:16,237,E 11 Street & 2 Avenue,40.73047309,-73.98672378,168,W 18 St & 6 Ave,40.73971301,-73.99456405,30290,Subscriber,1971.0,1
101,1134,2017/8/1 0:10,2017/8/1 0:29,3438,E 76 Street & 3 Avenue,40.77224854,-73.95842135,3286,E 89 St & 3 Ave,40.7806284,-73.9521667,29568,Subscriber,1967.0,1
102,188,2017/8/1 0:10,2017/8/1 0:13,2010,Grand St & Greene St,40.72165481,-74.00234737,3435,Grand St & Elizabeth St,40.718821999999996,-73.99596,16095,Subscriber,1990.0,1
103,568,2017/8/1 0:10,2017/8/1 0:19,247,Perry Street & Bleecker Street,40.73535398,-74.00483091,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,26622,Subscriber,1992.0,1
104,490,2017/8/1 0:10,2017/8/1 0:18,513,W 56 Street & 10 Avenue,40.768254,-73.988639,529,W 42 St & 8 Ave,40.75756989999999,-73.99098507,19576,Subscriber,1984.0,1
105,1804,2017/8/1 0:10,2017/8/1 0:40,322,Clinton Street & Tillary Street,40.696191999999996,-73.991218,289,Monroe St & Classon Ave,40.684568299999995,-73.95881081,25794,Subscriber,1985.0,2
106,871,2017/8/1 0:10,2017/8/1 0:25,454,E 51 Street & 1 Avenue,40.75455731,-73.96592976,504,1 Ave & E 16 St,40.73221853,-73.98165557,16362,Subscriber,1972.0,1
107,747,2017/8/1 0:10,2017/8/1 0:23,237,E 11 St & 2 Ave,40.73047309,-73.98672378,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,27395,Subscriber,1992.0,1
108,241,2017/8/1 0:10,2017/8/1 0:14,3453,Devoe Street & Lorimer Street,40.71335226,-73.94910336,3095,Graham Ave & Herbert St,40.71929301,-73.94500379,28963,Subscriber,1982.0,1
109,884,2017/8/1 0:10,2017/8/1 0:25,3462,E 44 St & 2 Ave,40.75118387,-73.97138715,428,E 3 St & 1 Ave,40.72467721,-73.98783413,18495,Subscriber,1983.0,1
110,2749,2017/8/1 0:10,2017/8/1 0:56,460,S 4 Street & Wythe Avenue,40.71285887,-73.96590294,174,E 25 St & 1 Ave,40.7381765,-73.97738662,27817,Customer,,0
111,2734,2017/8/1 0:10,2017/8/1 0:56,460,S 4 Street & Wythe Avenue,40.71285887,-73.96590294,174,E 25 St & 1 Ave,40.7381765,-73.97738662,26389,Customer,,0
112,399,2017/8/1 0:10,2017/8/1 0:17,237,E 11 Street & 2 Avenue,40.73047309,-73.98672378,410,Suffolk St & Stanton St,40.72066442,-73.98517977,29732,Subscriber,1991.0,1
113,2229,2017/8/1 0:11,2017/8/1 0:48,473,Rivington Street & Chrystie Street,40.72110063,-73.99192540000001,72,W 52 St & 11 Ave,40.76727216,-73.99392888,21386,Customer,1987.0,1
114,1798,2017/8/1 0:11,2017/8/1 0:41,473,Rivington Street & Chrystie Street,40.72110063,-73.99192540000001,495,W 47 St & 10 Ave,40.76269882,-73.99301222,15122,Customer,1996.0,2
115,632,2017/8/1 0:11,2017/8/1 0:21,3100,Nassau Avenue & Newell Street,40.72481256,-73.94752622,3100,Nassau Ave & Newell St,40.72481256,-73.94752622,29183,Subscriber,1990.0,2
116,2022,2017/8/1 0:11,2017/8/1 0:45,473,Rivington Street & Chrystie Street,40.72110063,-73.99192540000001,72,W 52 St & 11 Ave,40.76727216,-73.99392888,27183,Customer,1972.0,2
117,94,2017/8/1 0:11,2017/8/1 0:13,483,E 12 Street & 3 Avenue,40.73223272,-73.98889957,237,E 11 St & 2 Ave,40.73047309,-73.98672378,24836,Subscriber,1994.0,1
118,1434,2017/8/1 0:12,2017/8/1 0:36,3103,N 11 St & Wythe Ave,40.72153267,-73.95782357,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,19292,Subscriber,1984.0,1
119,351,2017/8/1 0:12,2017/8/1 0:18,428,E 3 Street & 1 Avenue,40.72467721,-73.98783413,174,E 25 St & 1 Ave,40.7381765,-73.97738662,28974,Subscriber,1993.0,1
120,13030,2017/8/1 0:12,2017/8/1 3:49,3421,Hoyt St & Warren St,40.6843549,-73.98901629,3421,Hoyt St & Warren St,40.6843549,-73.98901629,19725,Subscriber,1995.0,1
121,285,2017/8/1 0:12,2017/8/1 0:17,536,1 Avenue & E 30 Street,40.74144387,-73.97536082,325,E 19 St & 3 Ave,40.73624527,-73.98473765,29957,Subscriber,1987.0,2
122,1243,2017/8/1 0:12,2017/8/1 0:33,325,E 19 St & 3 Ave,40.73624527,-73.98473765,444,Broadway & W 24 St,40.742354299999995,-73.98915076,29752,Customer,,0
123,75,2017/8/1 0:12,2017/8/1 0:14,383,Greenwich Avenue & Charles Street,40.735238,-74.000271,254,W 11 St & 6 Ave,40.73532427,-73.99800419,27291,Subscriber,1955.0,1
124,633,2017/8/1 0:12,2017/8/1 0:23,396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,3418,Plaza St West & Flatbush Ave,40.675020700000005,-73.97111473,25970,Subscriber,1978.0,1
125,906,2017/8/1 0:12,2017/8/1 0:27,478,11 Avenue & W 41 Street,40.76030096,-73.99884222,116,W 17 St & 8 Ave,40.74177603,-74.00149746,28478,Subscriber,1979.0,2
126,379,2017/8/1 0:12,2017/8/1 0:19,252,MacDougal Street & Washington Sq,40.73226398,-73.99852205,405,Washington St & Gansevoort St,40.739323,-74.008119,25005,Subscriber,1985.0,1
127,1228,2017/8/1 0:12,2017/8/1 0:33,325,E 19 St & 3 Ave,40.73624527,-73.98473765,444,Broadway & W 24 St,40.742354299999995,-73.98915076,25768,Customer,,0
128,1012,2017/8/1 0:13,2017/8/1 0:29,3443,W 52 Street & 6 Avenue,40.76132983,-73.97982001,504,1 Ave & E 16 St,40.73221853,-73.98165557,25489,Subscriber,1989.0,1
129,2575,2017/8/1 0:13,2017/8/1 0:56,447,8 Ave & W 52 St,40.76370739,-73.9851615,447,8 Ave & W 52 St,40.76370739,-73.9851615,25949,Subscriber,1973.0,1
130,262,2017/8/1 0:13,2017/8/1 0:17,3398,Smith Street & 9 Street,40.67469570000001,-73.99785768,3333,Columbia St & Lorraine St,40.6747055,-74.00755720000001,24790,Subscriber,1981.0,1
131,597,2017/8/1 0:13,2017/8/1 0:23,3294,E 91 Street & Park Avenue,40.7835016,-73.955327,3372,E 74 St & 1 Ave,40.7689738,-73.95482273,24929,Subscriber,1969.0,1
132,796,2017/8/1 0:13,2017/8/1 0:26,3255,8 Ave & W 31 St,40.75058535,-73.99468482,368,Carmine St & 6 Ave,40.73038599,-74.00214988,26589,Subscriber,1965.0,1
133,320,2017/8/1 0:13,2017/8/1 0:18,466,W 25 St & 6 Ave,40.74395411,-73.99144871,345,W 13 St & 6 Ave,40.73649403,-73.99704374,14905,Subscriber,1987.0,1
134,1649,2017/8/1 0:13,2017/8/1 0:41,3141,1 Ave & E 68 St,40.76500525,-73.95818491,473,Rivington St & Chrystie St,40.72110063,-73.99192540000001,15400,Subscriber,1993.0,1
135,312,2017/8/1 0:13,2017/8/1 0:18,3105,N 15 Street & Wythe Avenue,40.724055,-73.955736,3113,Greenpoint Ave & Manhattan Ave,40.730259999999994,-73.95394,29382,Subscriber,1984.0,1
